| Id                      | Version     | Type    | Mod version | Status    |
| ----------------------- | ----------- | ------- | ----------- | --------- |
| abyss                   | 0.1         | color   | 3.0.0       | installed |
| autoinsert              | 0.2         | plugin  | 3           | installed |
| autosave                | 0.2         | plugin  | 3           | installed |
| autowrap                | 0.1         | plugin  | 3           | installed |
| betelgeuse              | 0.1         | color   | 3.0.0       | installed |
| bracketmatch            | 0.2         | plugin  | 3           | installed |
| c0mfy                   | 0.1         | color   | 3.0.0       | installed |
| catppuccin-mocha        | 0.1         | color   | 3.0.0       | installed |
| codeplus                | 0.1         | plugin  | 3           | installed |
| cold_lime               | 0.1         | color   | 3.0.0       | installed |
| colorpreview            | 0.2         | plugin  | 3           | installed |
| copyfilelocation        | 0.1         | plugin  | 3           | installed |
| devicons                | 1.0.0       | plugin  | 3           | installed |
| dracula                 | 0.1         | color   | 3.0.0       | installed |
| duorand                 | 0.1         | color   | 3.0.0       | installed |
| duotone                 | 0.1         | color   | 3.0.0       | installed |
| editorconfig            | 0.1         | plugin  | 3           | installed |
| everforest              | 0.3         | color   | 3.0.0       | installed |
| font_devicons           | 1.0.0       | font    | 3           | installed |
| formatter               | 0.1         | plugin  | 3           | installed |
| gitblame                | 0.2.1       | plugin  | 3           | installed |
| gitdiff_highlight       | 0.1         | plugin  | 3           | installed |
| github                  | 0.1         | color   | 3.0.0       | installed |
| github-dark-dimmed      | 0.1         | color   | 3.0.0       | installed |
| github_dark             | 0.1         | color   | 3.0.0       | installed |
| gitstatus               | 0.2         | plugin  | 3           | installed |
| gruvbox_dark            | 0.1         | color   | 3.0.0       | installed |
| gruvbox_light           | 0.1         | color   | 3.0.0       | installed |
| indentguide             | 0.3         | plugin  | 3           | installed |
| jb-fleet                | 0.1         | color   | 3.0.0       | installed |
| jellybeans              | 0.1         | color   | 3.0.0       | installed |
| json                    | 1.0         | library | 3.0.0       | installed |
| language_angelscript    | 0.1         | plugin  | 3           | installed |
| language_assembly_riscv | 0.1         | plugin  | 3           | installed |
| language_assembly_x86   | 0.1         | plugin  | 3           | installed |
| language_autohotkey_v1  | 0.1         | plugin  | 3           | installed |
| language_awk            | 0.1         | plugin  | 3           | installed |
| language_batch          | 0.1         | plugin  | 3           | installed |
| language_bend           | 0.1         | plugin  | 3           | installed |
| language_bib            | 0.1         | plugin  | 3           | installed |
| language_blade          | 0.1         | plugin  | 3           | installed |
| language_blueprint      | 0.1         | plugin  | 3           | installed |
| language_brainfuck      | 0.1         | plugin  | 3           | installed |
| language_buzz           | 0.2         | plugin  | 3           | installed |
| language_c7             | 0.1         | plugin  | 3           | installed |
| language_caddyfile      | 0.1.1       | plugin  | 3           | installed |
| language_carbon         | 0.3         | plugin  | 3           | installed |
| language_clojure        | 0.3         | plugin  | 3           | installed |
| language_cmake          | 0.2.1       | plugin  | 3           | installed |
| language_containerfile  | 0.1         | plugin  | 3           | installed |
| language_crystal        | 0.1         | plugin  | 3           | installed |
| language_csharp         | 0.1         | plugin  | 3           | installed |
| language_cue            | 0.1         | plugin  | 3           | installed |
| language_d              | 0.2         | plugin  | 3           | installed |
| language_dart           | 0.1         | plugin  | 3           | installed |
| language_diff           | 0.1         | plugin  | 3           | installed |
| language_edp            | 0.1         | plugin  | 3           | installed |
